iteration,group_size,partitions,total_updates,avg_updates_per_member,distinct_updaters,conflicts_after_merge,first_secrets,first_crypto,first_bytes,first_ms,recovery_steps,recovery_secrets,recovery_crypto,recovery_bytes,recovery_ms
14,64,4,32,0.500000,32,37,37,641,6820,4.380068,29,297,2045,89300,18.377102
14,64,4,64,1.000000,64,63,63,841,9940,6.115327,54,534,3414,163864,31.840334
14,64,4,96,1.500000,64,63,63,937,9940,6.763999,47,552,3491,153620,32.411225
14,64,4,128,2.000000,64,63,63,1033,9940,7.394611,47,552,3587,153620,32.966521
0,128,4,0,0.000000,0,0,7,42,2848,0.419505,1,7,42,2848,0.419505
0,128,4,64,0.500000,64,66,67,1242,10688,11.121167,53,630,4222,185960,41.089640
0,128,4,128,1.000000,128,127,127,1674,17952,15.313089,121,1305,8066,407760,79.514255
0,128,4,192,1.500000,128,127,127,1866,17952,15.757554,113,1537,9074,419536,88.113383
0,128,4,256,2.000000,128,127,127,2058,17952,17.031757,113,1537,9266,419536,89.304517
1,128,4,0,0.000000,0,0,7,42,2848,0.420444,1,7,42,2848,0.420444
1,128,4,64,0.500000,64,66,67,1242,10624,10.400732,57,645,4338,195888,41.483254
